route_id,route_short_name,agency_id,route_type,route_long_name
1H/205F,1H/205F,TGSRTC,3,1H/205F-ABDULLAPUR METTU-TO-SECUNDERABAD-HYT2
1J,1J,TGSRTC,3,1J-SECUNDERABAD-TO-JIYAGUDA KHT-KCG
1JK,1JK,TGSRTC,3,1J/L-LANGER HOUSE-TO-SECUNDERABAD-KCG
1J/L,1J/L,TGSRTC,3,1J/L-CBS-TO-LANGER HOUSE-KCG
1L,1L,TGSRTC,3,1GL-SECUNDERABAD-TO-GSI-BDG
1M/D,1M/D,TGSRTC,3,1M/D-SATYA NAGAR-TO-SECUNDERABAD-BDG
1V,1V,TGSRTC,3,1V-SECUNDERABAD-TO-NGOS COLONY-HYT2
1VM,1VM,TGSRTC,3,1VM-SAI NAGAR-RAITHU BAZAR-TO-SECUNDERABAD-HYT2
1VS,1VS,TGSRTC,3,1VS-SAHEB NAGA-RAITHU BAZAR-TO-SECUNDERABAD-HYT2
1Z,1Z,TGSRTC,3,1Z-SILVER ROUTE-ARAMGHAR-TO-RATHIFILE
1Z/251,1Z/251,TGSRTC,3,1-SILVER ROUTE-AFZAL GUNJ-TO-CBS
1Z/539,1Z/539,TGSRTC,3,1Z/539-KHANASHANTHIVANAM-TO-SECUNDRABAB-MHRM
1Z/95K,1Z/95K,TGSRTC,3,1Z/95K-SECUNDERABAD-TO-SRIRAM COLONY-RJNR
2,2,TGSRTC,3,2-SECUNDERABAD-TO-AFZALGUNJ-CNT
201,201,TGSRTC,3,201-WOMENS COLLEGE-TO-BACHARAM-HYT1
